#,Statement,Sources Retrieved,Sources Dropped,Reports Retrieved,Reports Dropped,Entities Retrieved,Entities Dropped,Relationships Retrieved,Relationships Dropped,Cross-type resolutions
1,Recommended classification: second_level_support. Rationale: your report hits three distinct subsystems at once (SharePoint / sensitivity‑label + directory/group effects; external file transfer to a server; Teams device/media problems). Similar multi‑domain outages after org/group/label changes were escalated to Identity / System Engineers and Core Engineering in the indexed cases,"13, 20, 30",,,,,,,,
2,Evidence citation: this nesting‑correction + direct‑assign test approach is shown in the SP_Project_IT remediation record,20,,,,,,,,
3,"Evidence citation: sensitivity‑label + ACL misalignment remediation (remove/reapply label, realign groups, invalidate tokens) is recorded in the label incident notes",30,,,,,,,,
4,Evidence citation: cloud vs on‑prem COMPLIANCE_TEAM collision and remediation by consolidation + full Azure AD Connect sync (restored guest access),13,,,,,,,,
5,Evidence citation: WinSCP/FTP test and subsequent firewall/decommission action are recorded in the KF14 FileZilla ticket,34,,,,,,,,
6,Evidence citation: Teams client/diagnostic practices and Admin Center traces are referenced in device‑and‑call investigations,"37, 19",,,,,,,,
7,"RECOMMENDED: Assemble a short bridge with Identity (Entra/Azure AD), SharePoint/Collab owner, and Network/Security. This mirrors the cross‑team escalations in similar incidents","13, 30",,,,,,,,
8,"RECOMMENDED: Do NOT broadly relax Conditional Access or apply broad exceptions; if any geolocation/firewall exceptions were applied as emergency containment, capture the exact exception list and make them time‑boxed (prior incidents warned about governance exposure)",4,,,,,,,,
9,"RECOMMENDED step: Collect SharePoint permission view screenshot for the affected folder (Manage access → Advanced) and the exact folder URL. Then: a) Add a known‑good TEST USER as direct member of SP_Project_IT to prove membership restores access (use the same test pattern recorded in TI‑1569482). b) If that restores access, correct group nesting (move IT‑Projekte into SP_Project_IT) and document the change; await sync/propagation and verify with affected users.",20,,,,,,,,
10,"RECOMMENDED step: Export Purview label configuration for “Confidential – Internal” and confirm which Azure AD group(s) are allowed to decrypt (Compliance_Core). If Compliance_Core ≠ the ACL group, either align the ACL or reapply the label using the “preserve custom permissions” approach after testing; force sign‑in (invalidate tokens) for at least one affected user to confirm new claims. These actions mirror remediation steps recorded in the sensitivity‑label incident",30,,,,,,,,
11,"RECOMMENDED step: Export the Azure AD group object(s) for COMPLIANCE_TEAM and SP_Project_IT (objectId, onPremisesSyncEnabled, members). If two objects share the same displayName with different objectIds, perform consolidation then run a full Azure AD Connect sync; include the sync run history export (sync job timestamps) when you escalate to Identity. This is the documented remediation used in the COMPLIANCE_TEAM case",13,,,,,,,,
12,"RECOMMENDED step: From the server side, collect the SFTP/FTP server logs for the failed timestamps, the OS-level SSH logs (if SFTP) or web/API logs (if HTTPS upload), and the firewall edge allow/deny logs for the uploader’s source IP. Prior FileZilla troubleshooting used WinSCP and firewall analysis and culminated in firewall/policy changes recorded in the ticket",34,,,,,,,,
13,". If the server is a Windows/FileZilla endpoint, check whether a network share was toggled in prior fixes — disabling/re‑enabling shares fixed queued SAP jobs in a prior print incident and is a documented remediation pattern for server‑side queue exposure problems","28, 7, 34",,,,,,,,
14,"RECOMMENDED step (device): Collect the affected user’s Teams desktop client logs and run a Teams Test Call. If Teams Admin Center shows no camera device or mic input in the service telemetry, escalate to Desktop/Endpoint engineering to check driver, privacy permissions, and vendor USB driver reinstallation. The indexed records show Teams Test Call + client logs were the diagnostic artifacts used in prior AV issues","37, 19",,,,,,,,
15,"RECOMMENDED: For the mic stuck at zero with a USB headset, also capture a short Windows Sound control test result and check whether other apps capture microphone input — that helps determine driver/Windows privacy vs Teams‑only failure (this diagnostic pattern appears in past endpoint tickets)",37,,,,,,,,
16,Evidence these were decisive: Permission view and screenshots were used in SharePoint access tickets,"20, 30",,,,,,,,
17,Evidence: Microsoft Graph / Azure AD Connect exports and full sync were used to diagnose and fix collisions,13,,,,,,,,
18,Evidence: label application timing and allowed group mattered in the label incident,30,,,,,,,,
19,Evidence: WinSCP tests + firewall changes were used in the FileZilla case,34,,,,,,,,
20,Evidence: Teams client diagnostics and Admin Center traces were used in Teams device investigations,"37, 19",,,,,,,,
21,"The indexed records do NOT contain your tenant’s raw Azure AD sign‑in log rows, Azure AD Connect run timestamps for your overnight window, nor your server SFTP logs. I cannot confirm the concrete objectId GUIDs, the exact group membership diffs, nor the uploader’s server‑side error lines from here — you must export those artifacts and attach them to the ticket for engineers to reproduce the identical evidence chain","13, 30, 34",,,,,,,,
22,"Please provide (minimum) the SharePoint folder URL + permission screenshot, the list of affected UPNs, the Azure AD group export (objectId + members) for SP_Project_IT and COMPLIANCE_TEAM, Purview label config for “Confidential – Internal”, the server SFTP logs for the uploader’s failure timestamps, and the Teams client/Admin traces for the two Teams device problems. Prior investigations explicitly used those artifacts to conclude root cause and fix","13, 30, 34, 37",,,,,,,,
23,RECOMMENDED: Escalate to BU Infrastructure – Identity and Core Engineering now (ticket owners in prior cases handed off to Identity/System Engineers for identical multi‑domain failures),"13, 20, 30",,,,,,,,
24,Documented action: Add TEST USER to SP_Project_IT and confirm whether that restores access; cite TI‑1569482 as precedent,20,,,,,,,,
25,RECOMMENDED: Export Azure AD group listings and Azure AD Connect sync history for the change window and attach to ticket (System Engineer 14 used these in the COMPLIANCE_TEAM case),13,,,,,,,,
26,"Documented action: Remove/reapply the label only after aligning Compliance_Core with ACL, then force token refresh for one affected user (documented label remediation pattern)",30,,,,,,,,
27,RECOMMENDED: Provide server SFTP logs + WinSCP client logs + firewall allow/deny logs for the uploader’s IP/time window (FileZilla case used WinSCP & firewall analysis),34,,,,,,,,
28,RECOMMENDED: Attach Teams Admin Center diagnostics and client logs for the camera/mic cases; run Teams Test Call and attach results (Teams test flows used in prior AV tickets),"37, 19",,,,,,,,
29,"I cannot assert a single root cause from the indexed records alone because the symptoms span identity / label / sync, server/file‑transfer, and endpoint AV domains and the records show remediation required evidence from multiple artifacts (Azure AD Connect runs, Purview label config, server logs, Teams traces) that are not present here. To reach a definitive single root cause and apply the exact fixes used in prior incidents, please attach the artifacts listed above. The indexed precedents show the exact investigative sequence and remediation once those artifacts were present","13, 30, 34, 37",,,,,,,,
