#,Statement,Sources Retrieved,Sources Dropped,Reports Retrieved,Reports Dropped,Entities Retrieved,Entities Dropped,Relationships Retrieved,Relationships Dropped,Cross-type resolutions
1,Teams one‑way / no‑audio for external calls was repeatedly caused by network/SBC/media‑path issues (firewall blocking RTP or NAT/session timeouts) rather than endpoint hardware in prior cases; investigators used Teams Admin Center + SBC SIP traces + firewall/NAT logs and validated fixes by temporary port openings and SBC parameter changes [This is documented],"23, 16, 8",,,,,,,,
2,"Simultaneous printing problems in other incidents were caused by several distinct directory/GPO and print‑path faults: AD/group nesting causing wrong location GPO/printer mapping; an explicit Deny ACE on a queue blocking a user; printers moved to a new PRINTER VLAN without the relay/routing allow‑list; and, for SAP flows, Windows print‑server SMB/share publishing broken after VM restore — remediation actions in prior cases included removing Deny ACEs, forcing GPO (gpupdate /force) and re‑enabling the print‑server network share (SAP case) [This is documented]","2, 3, 22, 28, 39",,,,,,,,
3,"When multiple subsystems failed after an org/group change, the indexed records consistently routed work to second‑level teams (Identity / BU Infrastructure – M365, Unified Communications / SBC engineers, and Core Engineering for print servers) rather than being resolved at first‑line only [This is documented and forms the historical escalation pattern]","13, 8, 28",,,,,,,,
4,"Gather a representative failing call sample: timestamp (UTC), caller UPN/extension, called number, and the local client clock time when the UI shows “Connected → silent” [used by prior responders to align traces]","23, 8",,,,,,,,
5,Pull Teams Admin Center call trace for that timestamp and the per‑call correlationId(s) [used as the control‑plane correlate in prior cases],8,,,,,,,,
6,Request SBC SIP trace for the same call (full INVITE/200OK/ACK/SDP and final BYE) and include Call‑ID and timestamps — prior incidents used these traces to find BYE at ~29–31s or 404 routing responses,"8, 16",,,,,,,,
7,Request firewall/NAT logs for the same time window showing UDP/RTP flows and NAT session events (session creation and expiry) and any firewall change entries in the recent change window; prior Zurich/Basel incidents used firewall/NAT logs to prove blocked RTP or 30s NAT expiry,"23, 16",,,,,,,,
8,"Correlate SBC BYE time with any NAT expiry or firewall deny entry; if BYE coincides with a 30s NAT timeout or a deny of RTP ports, that is the documented cause and the remedy is to align NAT/session timers or open the dynamic RTP range per the Direct Routing blueprint [Documented pattern and remedy]","16, 23",,,,,,,,
9,(These are the same investigative artifacts and validation steps shown effective in TI‑1602241 / TI‑1604879 / TI‑1612036.),"23, 16, 8",,,,,,,,
10,"Capture example user evidence (for each symptom type): a) user who sees zero printers — screenshot of “Printers & scanners” and full Windows address bar + UPN; b) user who gets “Access denied” on print — screenshot of error and the targeted queue name; c) job that is stuck — server‑side queue snapshot (queued jobs with owner, document name, JobID) [prior cases recorded these artifacts as essential]","39, 3, 27",,,,,,,,
11,"Export the affected users’ AD group membership (the membership set used by GPOs) and the group(s) that map to printers (location groups such as PRT‑Basel, ZURICH LOCATION AD GROUP). Prior Finance/Printer incidents showed incorrect nesting (Finance → Zurich) caused wrong default printer","2, 39",,,,,,,,
12,"On an affected workstation, force Group Policy refresh and re‑login (gpupdate /force + sign out/in) and record whether the printer mapping appears — this was the exact validation step in multiple resolved cases",39,,,,,,,,
13,"On the print server(s): inspect queue ACLs for explicit Deny ACEs and remove after confirming intent (Basel explicit Deny case). If spooler shows paused queues, activate queue and restart jobs (documented remediation)","3, 27",,,,,,,,
14,"If jobs disappear from the Windows queue (or SAP printing is involved), check whether printers were moved into a PRINTER VLAN and whether the print server can reach the device (ping) and whether the VLAN IP is present in the SMTP relay allow‑list for Scan‑to‑Mail; prior VLAN moves required routing/firewall adjustments and SMTP allow‑list edits","22, 6",,,,,,,,
15,"If SAP print paths are used, identify the SAP print target → Windows queue mapping and, if the printserver was recently restored/updated, validate the SMB network‑share publishing state. In a documented SAP case, disabling and re‑enabling the network share on VRINFRGERPRNT03/04 released pending SAP jobs","28, 7",,,,,,,,
16,(These steps mirror what Core Engineering / Print and Network teams did in the recorded print incidents.),"28, 22, 3, 39",,,,,,,,
17,"- Teams/UC: sample call timestamp (UTC), Teams Admin Center call trace/correlationId, SBC SIP trace for that call (INVITE/200/SDP/BYE), firewall/NAT logs for RTP ports and NAT session-timeouts for the same window","8, 16, 23",,,,,,,,
18,"Print: screenshots from affected users (Printers pane, Access denied), AD group membership export for affected users, print server queue snapshot (JobID, Owner, document name), print server event logs (PrintService operational EVTX) and queue ACL screenshot, and network/VLAN/routing allow‑list for printers — if SAP is involved, SAP spool IDs for the affected jobs and which Windows queue they mapped to","39, 3, 27, 28, 22, 7",,,,,,,,
19,"Identity/context: Azure AD sign‑in entries for a sample affected user (token claim list), and Azure AD Connect sync run history covering the suspected change window if you suspect group/object changes (prior investigations used these to prove overwrite)","31, 13",,,,,,,,
20,Cite these artifacts in the ticket and attach them: prior cases used them to get to root cause rapidly,"8, 28, 13",,,,,,,,
21,"Classify this incident: second_level_support. Rationale: simultaneous, cross‑domain failures (Unified Communications media + directory/GPO + print server) match prior incidents that required second‑line/system‑engineer escalation (Identity team for group/sync issues; UC/SBC and Network for media issues; Core Engineering for print‑server fixes) rather than being resolvable entirely by first‑line steps [Documented precedent: TI‑1583327, TI‑1602241, TI‑931293]","13, 23, 28",,,,,,,,
22,"- If SBC logs show INVITE→200 OK but no client RTP and firewall logs show blocked dynamic RTP ports → open dynamic RTP range per Direct Routing blueprint and validate with a Teams Test Call (temporary open to validate, then apply permanent rule) [Documented fix from Zurich incidents]","23, 5",,,,,,,,
23,If SBC shows BYE at ~29–31s correlated with NAT/UDP expiry → align NAT/session timeout with Direct Routing blueprint (increase from 30s to recommended value) and retest (shown in Basel case) [Documented],16,,,,,,,,
24,If a print queue has an explicit Deny ACE → remove the Deny ACE and test print (documented Basel case) [Documented],3,,,,,,,,
25,If new user sees zero printers but others in same room print → validate AD group membership and force GPO (gpupdate /force + re‑login) as documented remediation in several tickets [Documented],39,,,,,,,,
26,If SAP jobs are stuck after a VM update/restore → disable and re‑enable the printer network share on the SAP printserver (VRINFRGERPRNT03/04) to release queued SAP jobs — this was the recorded corrective action in a PRIO HIGH case [Documented],"28, 7",,,,,,,,
27,Do not present these as generic commands — they are documented prior actions; attach the referenced ticket ids when you ask engineers to reuse the same fix path,"28, 3, 23, 39",,,,,,,,
28,These recommendations reflect the operational escalation pattern and evidence collected in the historical incidents,"13, 8, 28",,,,,,,,
29,Teams: sample failing call time (UTC) + Teams Admin Center call trace/correlationId + SBC SIP trace INVITE→200→SDP→BYE for same call + firewall/NAT logs for RTP/NAT session timeframe,"8, 16, 23",,,,,,,,
30,"Printing: screenshots (Printers pane / Access denied), AD group membership export for affected users, print server queue snapshot (JobID/Owner/Document/Time), print server event logs (PrintService EVTX), and (if SAP) SAP spool IDs + target mapping","39, 3, 27, 28, 7",,,,,,,,
31,Identity: sample UPN(s) and time window for sign‑in log export (Azure AD sign‑in logs + Azure AD Connect sync runs),"31, 13",,,,,,,,
32,"Attach precedent tickets: TI‑1602241 (Zurich media), TI‑1604879 (Basel 30s), TI‑1612036 (SBC translation/new numbers), TI‑931293 (SAP printing/VM restore) for your on‑call engineers to reference.","23, 16, 8, 28",,,,,,,,
33,"They do not contain your tenant’s live SBC trace files, firewall logs, print‑server EVTX or your Azure AD Connect run logs. You must collect and attach those artifacts (exact files and timestamps) to allow the same evidence‑driven steps shown in the records to be executed here. I cannot run those exports for you. This limitation is explicit in the indexed corpus (prior tickets referenced those artifacts but did not embed the raw traces in the indexed summaries)","8, 16, 28, 13",,,,,,,,
