#,Statement,Sources Retrieved,Sources Dropped,Reports Retrieved,Reports Dropped,Entities Retrieved,Entities Dropped,Relationships Retrieved,Relationships Dropped,Cross-type resolutions
1,Desktop mail clients showing messages stuck in Outbox while webmail works — caused by tenant security policy / SMTP AUTH being disabled (Security Defaults / Conditional Access) and resolved by selective re‑enable or conditional‑access adjustment / hybrid connector fixes. Example: an Exchange/Outbox incident where investigators found SMTP AUTH blocked by tenant security defaults and remediated by targeted policy/connector changes [This is recorded in the Exchange / SMTP auth incident notes],32,,,,,,,,
2,- External partners shown as “Offline” / delayed chat and some calls not ringing — documented causes include tenant federation/presence configuration and Direct‑Routing/SBC provisioning or NAT/session problems; fixes involved applying the Teams Federation/Direct‑Routing blueprint and correcting SBC/provisioning rules (temporary translation rules proved fixes in prior cases),"26, 8",,,,,,,,
3,- Large (20–30 page) MFP scan reported “sent” but not delivered — prior cases show SMTP relay size limits or relay ACLs rejecting large messages; the logged SMTP relay rejection “MESSAGE SIZE EXCEEDS FIXED LIMIT” was the explicit diagnostic line leading to mailbox/delivery fixes and/or relay config changes,"36, 11",,,,,,,,
4,"- Printer jobs vanish from queue at site (Basel) — documented precedents include network/VLAN segmentation or print‑share publishing failures and also Windows Update + VM‑restore sequences that left print queues paused or shares unpublished; recorded remediations included restarting spooler, re‑publishing the network share (disable/re‑enable), correcting VLAN/routing rules or performing infra/VM forensic follow‑up when restores caused BSODs","22, 29",,,,,,,,
5,"- Multi‑domain, simultaneous outages of the sort you describe historically required escalation to engineering / second_level_support (Network & Security, Identity/Platform, Mail Team, Infrastructure). Several prior multi‑system incidents (portal/WAF, ADFS/regression, printing + VM restore) were handled at second level in the indexed corpus","15, 28, 0",,,,,,,,
6,"Action (documented): Classify/route this ticket to second_level_support (engage Identity/Entra, Mail/Exchange, Network & Security, Print/Infra). Prior, identical multi‑domain outages were escalated to specialist engineers rather than resolved at 1st‑line","32, 15, 28",,,,,,,,
7,"Evidence: multi‑domain patterns in indexed incidents required engineering (see Exchange/SMTP AUTH, Teams federation/Direct Routing, SAP printing).","32, 26, 29",,,,,,,,
8,Step 2.1 (documented): Verify whether SMTP AUTH has been disabled by tenant Security Defaults / Conditional Access and whether the affected users are subject to that policy. Prior case showed desktop Outlook sending failures while OWA worked because SMTP AUTH was disabled by a security setting,32,,,,,,,,
9,"Evidence to collect: Azure AD Conditional Access change or Security Defaults enablement, Exchange/Hybrid connector logs showing 535 / “authentication unsuccessful” events, and per‑user sign‑in events showing CA denies",32,,,,,,,,
10,"Step 2.2 (documented remedial options used before): If tenant policy blocked legacy SMTP AUTH and these users require legacy SMTP, apply the documented mitigation used in the prior case: either (A) create a scoped/conditional exception to allow SMTP AUTH for the specific users or devices, or (B) update the mail client configuration to use modern authenticated submission (or use OWA) while a scoped remediation is applied. The historical ticket shows targeted policy changes and selective connector adjustments were used to restore desktop send for affected users",32,,,,,,,,
11,Mark as: documented remediation (see TI‑1548823 example),32,,,,,,,,
12,Step 2.3 (documented): Check Exchange logs for EventID/SMTP 535 lines and the hybrid/send connector logs to confirm whether the desktop SMTP submission attempts are being blocked by CA or by the connector. Prior tickets used these log lines to prove the root cause.,32,,,,,,,,
13,Step 3.1 (documented): Confirm whether a tenant‑level federation/presence or external access policy changed in the same change window. Prior incidents used the Teams/Federation blueprint and tenant admin checks to identify presence/federation policy changes that caused external partners to show offline,26,,,,,,,,
14,"Evidence to collect: Teams Admin Center audit entries for federation/presence policy, tenant federation settings, and any recent provisioning changes that altered presence behavior",26,,,,,,,,
