#,Statement,Sources Retrieved,Sources Dropped,Reports Retrieved,Reports Dropped,Entities Retrieved,Entities Dropped,Relationships Retrieved,Relationships Dropped,Cross-type resolutions
1,A confirmed phishing/credential‑harvest incident in the record set used PDFs that redirected to a fake Microsoft login; investigators preserved the PDF artifacts and proposed network/geolocation mitigations and account exceptions as immediate containment [Documented: TI‑858473],4,,,,,,,,
2,Past incidents show that applying broad geolocation or non‑MFA blocks can legitimately stop attackers but also block traveling users and break automated jobs; tickets record that ad‑hoc exceptions were required and that these exceptions caused follow‑on failures when applied without careful exception scoping [Documented: TI‑858473; examples across incidents],4,,,,,,,,
3,"Service/integration failures that appear only in non‑browser (background) flows have prior precedents tied to token/client-registration issues (ADFS client flags like EnableJWT / RequestMFAFromClaimsProviders) and to protocol/claim mismatches — i.e., the same account can still sign in interactively while background authentication fails [Documented: TI‑1385257]",11,,,,,,,,
4,"When cloud vs on‑prem group/object identity diverged (same display name, different ObjectID), external guests were excluded until engineers consolidated groups and ran a full Azure AD Connect sync; investigators used Microsoft Graph/Entra portal to compare objectIDs and the Entra “source” attribute to prove the collision [Documented: TI‑1583327]",13,,,,,,,,
5,Remediations shown used in prior incidents (examples): preserve phishing artifacts; targeted firewall/deny of malicious domain; scoped exceptions rather than broad policy removal; collect Azure AD sign‑in logs / ADFS logs; correct ADFS client flags for non‑browser flows; consolidate groups + run full Azure AD Connect sync when a cloud/on‑prem collision is found; invalidate cached tokens / force sign‑out when CA/token timing is implicated [Documented: TI‑858473; TI‑1385257; TI‑1583327; TI‑1578891; TI‑1548823],"4, 11, 13, 30, 32",,,,,,,,
6,Why: Prior ticket TI‑858473 explicitly recorded preserving the PDF artifacts and identifying the malicious domain as part of the forensic evidence set [Documented: TI‑858473],4,,,,,,,,
7,Practical note: do not publicly post the artifacts; transfer via secure/forensic channels as in the prior case. (Recommended — follows the recorded handling in TI‑858473),4,,,,,,,,
8,Why: TI‑858473 shows proposals to apply geolocation blocks and lists of account exceptions; the records also show that such measures can block legitimate travelers and automation if applied broadly [Documented: TI‑858473],4,,,,,,,,
9,"If you find that the rule was applied, do NOT revert it wholesale without evidence — the records advise targeted, auditable exceptions rather than blanket rollback (Documented/Recommended)",4,,,,,,,,
10,Why / Evidence: multiple past investigations used Azure AD sign‑in logs to identify token/claim differences and to confirm whether CA was blocking non‑MFA/non‑browser flows; these logs were decisive in label/access and sync investigations [Documented: TI‑1578891; TI‑1571046; TI‑1583327],"30, 38, 13",,,,,,,,
