#,Statement,Sources Retrieved,Sources Dropped,Reports Retrieved,Reports Dropped,Entities Retrieved,Entities Dropped,Relationships Retrieved,Relationships Dropped,Cross-type resolutions
1,"Based on the indexed records, this is not a routine single‑user fault. The mix of cross‑service symptoms (D365 Financial Reports spanning UAT+PROD, Teams SIP/Direct‑Routing/SBC behavior, firewall/NAT timing, and client notification issues) matches prior incidents that were escalated to engineering/identity/UC/Network teams. Recommended classification: second_level_support — escalate to Application (AOS/IIS/FRDB) owners, BU Infrastructure – Identity, Unified Communications (SBC/Direct Routing) owners, and Network/Firewall owners for coordinated investigation","0, 13, 16",,,,,,,,
2,"Similar outages required AOS/IIS and Data‑Mart investigation, vendor escalation and (in prior cases) a Data‑Mart reset or AOS/IIS/TLS configuration changes. The Management‑Reporting incident recorded vendor escalation and changes to AOS/IIS/TLS + Data‑Mart actions as the remediation path","0, 56",,,,,,,,Sources(56) -> community_report
3,"Prior cases where new number ranges failed at the carrier→edge showed the SBC translation/normalization table was missing entries; a temporary translation rule on the SBC validated the fix, then a permanent translation/routing update was applied",8,,,,,,,,
4,Prior Basel incidents reproduced an SBC BYE at ~29–31s and traced root cause to NAT/session timer / UDP timeout mismatches or firewall/NAT behavior on the Voice VLAN; remedy was aligning NAT/session timeouts and SBC/session‑timer parameters (and firewall port rules where Media Bypass is used),"16, 23",,,,,,,,
5,"Prior endpoint cases documenting missing Teams pop‑ups were resolved by checking Windows notification settings and Focus Assist, confirming Teams client notification permissions, and running Teams client diagnostics / Test Call. Windows updates and Focus/Do‑Not‑Disturb states were frequent contributors to missing desktop pop‑ups","42, 19, 37",,,,,,,,
6,The indexed runbook/incident summaries show the canonical escalation path for multi‑service outages: CRM/portal intake → BU Customer Services Run / Helpdesk triage → escalate to Core Engineering / BU Infrastructure (Identity / UC / Network) when cross‑system or host/VM/dir‑sync impacts are present. Prior similar multi‑domain incidents were treated as second‑level and required coordinated cross‑team fixes,"3, 34, 13",,,,,,,,
7,"Collect: list of affected users (samples per symptom), first‑observed timestamp for each symptom (local & UTC if available), and whether the failures reproduce from multiple locations/browsers. Prior records show collecting this scope is standard triage and speeds escalation","3, 34",,,,,,,,
8,"Immediately open an escalated incident bridging Application (AOS/FRDB), Identity, Unified Communications (SBC/Direct Routing), and Network/Firewall teams and assign a single incident lead (Core Engineering / System Engineer). The indexed runbook explicitly recommends cross‑team bridgecalls for cross‑system outages","3, 34",,,,,,,,
9,"Prior Management‑Reporting / Financial‑Reports outages were resolved by investigating AOS/IIS/TLS configuration, Data‑Mart/FRDB service health and — when required — performing a Data‑Mart reset or AOS/IIS remediation and escalating to vendor/Microsoft if needed","0, 55",,,,,,,,Sources(55) -> community_report
10,"Server‑side logs: AOS app logs, IIS logs for the Financial Reports site, and FRDB/Data‑Mart logs covering the primary incident window. (Recommended — prior tickets used exactly these artifacts)",0,,,,,,,,
