#,Statement,Sources Retrieved,Sources Dropped,Reports Retrieved,Reports Dropped,Entities Retrieved,Entities Dropped,Relationships Retrieved,Relationships Dropped,Cross-type resolutions
1,"Multi‑service failures after an org‑chart / group reorganisation have repeatedly been caused by identity/group changes propagating into: (a) SharePoint/sensitivity‑label group/object collisions excluding cloud guests, (b) automated provisioning assigning the wrong Teams voice routing policy, and (c) AD group nesting causing location‑based GPO/printer mapping to apply to the wrong users. These three failure classes were the proximate causes in previous tickets and were remediated by group/object consolidation, provisioning‑policy fixes and corrections to AD nesting/GPOs","13, 9, 2",,,,,,,,
2,"Past troubleshooting used the following decisive artifacts: Entra/Azure AD group object (objectId) and ""source"" attribute, Azure AD Connect sync history, Teams Admin Center / voice‑routing policy inspection, SBC/Direct‑Routing traces (for SIP/INVITE/404/BYE signatures) and Windows print‑server queue/share and GPO checks","13, 8, 41, 16",,,,,,,,
3,"Freelancers: screenshot of the error page (common strings seen previously: “Access denied – You do not have the required permissions” or “Item not found”) and the exact UPN of one affected external user, with the UTC timestamp of the attempt [Documented error strings used in prior cases]","20, 30",,,,,,,,
4,"Sales call attempts: exact caller (user UPN), sample called number and UTC timestamp for a failed call attempt so Teams Admin Center/SBC traces can be correlated","8, 9",,,,,,,,
5,"Finance print incidents: example invoice (submission timestamp, submitting SAP user), physical printer that actually printed it, and the job arrival time on the Basel printserver if available","7, 2",,,,,,,,
6,"Why: prior incidents show these artifacts (screenshots, sign‑in timestamps, Teams call timestamps, SAP spool/printserver timestamps) are required to correlate Azure AD/Teams/SBC/Print evidence","31, 8, 28",,,,,,,,
7,"Check the affected SharePoint folder’s permission object(s) and record the group object referenced by SharePoint (the group name shown in the permission view) and then get that group's Azure AD objectId and the ""source"" attribute (Azure AD vs Windows Server AD). Prior investigations used this to detect cloud‑vs‑on‑prem collisions that excluded guest accounts","13, 30",,,,,,,,
8,"Consolidate/cleanup the groups so the authoritative group contains the intended guest members, then run a full Azure AD Connect sync (or apply the corrective sync action) and force token refresh/sign‑out for affected users so new claims are issued. Prior incidents consolidated groups and ran a full sync and token invalidation to restore guest access","13, 31",,,,,,,,
9,Documented result: consolidation + full sync restored guest access in the cited cases,13,,,,,,,,
10,"Inspect the Teams Admin Center / Get‑CsOnlineUser results for representative affected Sales users to see the assigned OnlineVoiceRoutingPolicy. Prior incidents found users were assigned the tenant ""Global"" policy (which lacked PSTN Usage) and therefore could not dial externally; temporarily assigning the correct DR policy (DR‑Standard/DR‑Sales) restored outbound calling in tests","9, 6",,,,,,,,
11,Temporarily assign the correct DR voice routing policy to a test user and validate calls (this test was used historically to confirm cause),9,,,,,,,,
12,Remediate the provisioning automation/script that maps Azure AD groups to voice routing policies so new/changed group membership receives the correct DR policy (records show fixing the provisioning script was used to permanently resolve the Sales outage),9,,,,,,,,
13,"Request SBC logs / carrier CDR and Teams Admin Center correlation IDs for the failed call timestamps. Prior SBC traces showed INVITE → 404 when translation entries missing, or BYE at ~29–31s when NAT/session timers caused early teardown — those SBC traces were decisive in past incidents","8, 16",,,,,,,,
14,"If SBC shows 404 for an INVITE for the number range, apply the temporary translation rule to validate and then make the permanent translation update (the temporary→permanent rule process was recorded as the remediation in TI‑1612036)",8,,,,,,,,
15,"Inspect AD group nesting / GPO scope for the affected Finance users: prior incidents showed a NEW_FINANCE_AD_GROUP had been added as a member of the ZURICH_LOCATION AD group which caused Zürich‑scoped GPOs (default printer MFP‑ZUERICH‑01) to apply to Basel users. If you find such nesting, remove the unintended parent membership and force a GPO refresh (gpupdate /force) on a test workstation and validate default printer mapping","2, 39",,,,,,,,
16,"Also check for network/VLAN changes affecting printer reachability: tickets document printers moved into a dedicated PRINTER VLAN and missing routing/firewall or missing SMTP relay ACL entries caused jobs to fail or Scan‑to‑Mail to stop. If the printer was moved into a new VLAN, confirm server→printer routing/firewall and SMTP relay allow‑list entries are present","22, 6",,,,,,,,
17,"If the invoices originate from SAP, map the SAP spool → SAP Print Target → Windows queue: confirm the SAP Print Target is still mapped to the expected Windows queue and that the Windows queue on the correct printserver is exposed via the SMB share. In a SAP printserver VM/restore incident, disabling/re‑enabling the print server SMB share cleared queued SAP documents and restored printing — use that pattern only if you have host privileges and you confirm the queue/share exposure is the issue","28, 7",,,,,,,,
18,"Classify and escalate this incident to second_level_support / Core Engineering because the documented pattern (identity/provisioning + UC/SBC + print/GPO cross‑impact after an org change) required engineering involvement in past cases. Prior runbooks show: CRM/web intake → BU Customer Services Run triage → escalate to Core Engineering when cross‑system host/identity/telephony changes are implicated, with Senior System Engineer / Employee 17 or Core Engineering performing host‑level remediation in print cases","128, 28",,34,,,,,,Sources(128) -> community_report
19,"For the handoff include the evidence package collected in step A (timestamps, screenshots, affected user lists, Entra group objectIDs, Teams Admin Center policy outputs, SBC trace timestamps, and printserver/SAP spool timestamps) — prior handoffs recorded these artifacts as the minimum payload to accept an escalated incident",125,,33,,,,,,Sources(125) -> community_report
20,"The indexed corpus does not include your tenant’s live Azure AD / Entra ""source"" outputs, the actual Teams Admin Center/Get‑Cs* command outputs for your users, SBC SIP traces or the raw Windows PrintService event logs from your printservers — the records show these items were decisive in prior incidents but the dataset does not contain your environment’s raw artifacts. You must collect them now to complete remediation","8, 13, 28",,,,,,,,
21,"The records do not state whether a full Azure AD Connect sync, a specific VM restore, or an explicit rollback of the HR change was already executed in your environment since last night. Prior incidents used full syncs and consolidation as remediation, but the dataset does not show whether that action has already been performed for this change window",13,,64,,,,,,
22,Export/attach: Azure AD group object details (objectId + source) for each SharePoint permission group referenced by the affected workspace; Azure AD Connect sync history for last 24 hours; Teams Admin Center policy assignment for representative Sales user(s); request SBC call traces for the failed call timestamps; export Windows PrintService operational log entries and SAP spool entry for the invoice job. (These are recommended evidence requests to the owners — records show these artifacts were used to fix similar incidents),"13, 8, 7, 16",,,,,,,,
23,Escalate to: BU Customer Services Run immediately and request Core Engineering / Identity and UC (Unified Communications) owners to join the bridge — the records show second_level_support/Core Engineering is the correct escalation path for cross‑system failures after an org change,"9, 8",,34,,,,,,
24,"Guest lockout (SharePoint): group object collision / Azure AD Connect overwrite → consolidate cloud/on‑prem groups, full sync, token invalidation","13, 30",,,,,,,,
25,Sales dialer immediate fail: voice routing policy misassignment by provisioning automation → temporary policy reassignment to DR‑Standard to validate; fix provisioning script permanently,"9, 6",,,,,,,,
26,"Finance invoices printed at wrong office: AD group nested into wrong location group → remove nesting, gpupdate /force, validate; if printer VLAN changes present, correct routing or SMTP relay allow‑list as required","2, 22, 6",,,,,,,,
27,Classification: second_level_support / Core Engineering (documented rationale: multi‑domain outage after org/group changes required engineer actions in prior cases),"13, 9",,34,,,,,,
28,"Owners to involve: Identity/Entra team (Azure AD Connect, group object reconciliation), Unified Communications / SBC owner (for Teams/Direct Routing + SBC traces), Print/Infrastructure (Windows printserver owners + SAP print target owners), Network (for VLAN/firewall or SMTP relay issues). Prior incidents show coordinated action by these teams resolved similar multi‑service outages","13, 8, 22, 28",,,,,,,,
29,"7) If you want, I can draft the exact handoff text and evidence list to paste into your incident ticket (recommended). The indexed records show including the minimal handoff payload improves time‑to‑engagement by Core Engineering",125,,33,,,,,,Sources(125) -> community_report
30,"The indexed records show the most likely root causes for your three symptoms are: (A) Azure AD group/object collisions or changed group nesting excluding cloud guest freelancers, (B) provisioning automation or voice‑policy assignment assigning a policy that lacks PSTN usage for Sales, and (C) AD group nesting (Finance nested into Zurich location) or printer VLAN routing causing invoices to print in Basel. Each of those failure modes was resolved previously by the actions listed above — but to complete remediation now you must collect the tenant‑specific artifacts (Entra objectIds/source, Teams policy assignments, SBC traces, printserver/SAP spool logs) and escalate to second_level_support/Core Engineering to perform the host/provisioning/SBC/printserver actions","13, 9, 2, 8, 28",,,,,,,,
